processed,original,drive_relevance,weed_relevance,forum,support
not drive high though wish like tunnel vision something drive slow anxiety maybe paranoia not sure smoke year think good love grocery shop high put headphone cruise aisle lol, I try not to drive high - though I wish I could. I get like tunnel vision or something and drive to slow. Anxiety maybe? Paranoia? I'm not sure - been smoking for years I would've thought I'd be better at it by now. I LOVE to grocery shop high. Put some headphones on and just cruise the aisles lol. † ,2,2,grasscity,0
drive high time way paranoid driving tired general add weed not good thing, I used to drive high all the time but I get way too paranoid and driving makes me tired in general add weed into that and its not a good thing. † ,1,1,grasscity,0
drive manual start blaze age age," I was driving a manual at 14, started blazing age 15, do both age 19 now † ",1,1,grasscity,1
nothing like drivin around smokin j good music playing best high driver know actually arguement friend time race driver front us bet g northern light black white speed like til catch right," nothing like drivin around smokin a j with some good music playing, i am the best high driver i know... i actually had an arguement with a friend one time about what race the driver in front of us was, we bet a g of northern lights on it, i said they were black and he said they were white, i sped up to like 85 til i caught up with them, i was right... † ",2,1,grasscity,1
friend blaze maybe bowl us drive down main road street mph speed limit well down guy mid tailgate entire time think funny slow down put cruise control friend giggle like year old girl take slowly down mph set speed control immediately start angry rear view mirror pissed near street probably less foot car not pay attention saw street hit blinker not slam break like brake hard turn turn onto street not think anything guess literally swerve lane avoid hit us fault tailgate drive down street swerve right lane pull slam break flip car reverse literally floored turn onto street 3rd 4th car chase high friend quickly take many turn neighborhood kill time drive around honestly never cadillac trunk foot air reverse crazy anyone else ever car chase," So me and my friends had just blazed maybe 5 or 6 bowls between 3 of us.  We were driving back down one of the main roads that our street is off, and it had a 35mph speed limit.  Well I had been going 40 down it, but this guy in his mid 40s had been tailgating me the entire time so we thought it would be funny to slow it down and put cruise control on.  So me and my friends are all giggling like 3 year old girls while I take it slowly down to 30mph and set speed control.  Immediately he starts to get angry and I can see in the rear view mirror he was getting pissed.  We were getting near my street, and he was probably less than a foot from the back of my car, and I hadn't been paying attention so when I saw our street I hit the blinker, didn't SLAM the breaks but more like braked hard and turned.  As we turned onto our street we didn't think anything of it, but I guess he had to literally swerve into the other lane to avoid hitting us (which was his fault for tailgating), and as I drove down our street he swerved, got back into the right lane, pulled over, slammed his breaks, flipped his car into Reverse, and literally FLOORED IT back, and turned onto our street.  This is the 3rd or 4th car chase I have been in while high with these friends, so we're used to it by now.  We quickly took many turns through a neighborhood and killed some time driving around, but I can honestly say I've never seen a Cadillac with its trunk 5 feet in the air while going in reverse.  That was crazy.  Anyone else ever get in car chases? † ",3,3,cannabis,1
drive high first time fuck awsome nt smoke like week smoke huge blunt car wendys best food ever high manual car time fun easy drive high well maybe even u good driver, im 16 and i just drove high for the first time. It was fucking awsome. I hadnt smoked in like 2 weeks and smoked a huge blunt in my car and went to wendys(which was the best food i ever had high). I have a manual car and it made it 10 times more fun. It was so easy to drive high as well maybe even makes u a better driver † ,3,3,grasscity,1
drive high irresponsible matter many people well probably not well think consider reality check anything ticket road rage accident incur injury death not think really worth," Driving high is irresponsible. No matter how many people say they do it well, they probably don't do it as well as they think they do...and considering a reality check could be anything from a ticket, to road rage, to an accident that incurs injury or death I don't think it's really worth it. † ",1,1,grasscity,0
refuse drive influence anything dont pay attention drive high eye concentration wander somewhere mom take smoke lol, i refuse to drive under the influence of anything.. i DONT pay attention when i drive high.. my eyes and concentration wander. if i have to go somewhere i make my mom take me after ive smoked lol † ,2,1,cannabis,0
nervous drive high become used start enjoy not feel nervous drive high sometimes nervous way people drive people st louis fucking suck," I used to be so nervous driving high, but when I became used to it, I started to enjoy it. I don't feel nervous about myself driving while high, but I am sometimes nervous about the way other people are driving. People in St. Louis fucking suck. † ",3,2,grasscity,1
hit nice driving chill high especially talk road trip must point though usually somewhat stone matter drive not big deal like someone compare cup coffee actual risk," a few hits here and there for a nice driving chill high. especially when you are talking road trips. it's a must. at this point though, i am usually somewhat stoned no matter when i am driving. not a big deal. i like what someone said above comparing it to having a cup of coffee. no actual risk. † ",1,2,grasscity,1
seek truth undefined love drive high really must admit though sometimes problem speed leave stop sign light especially tune crank sun shin well little corner world peace,Seeking Truth undefined I love to drive when I 'm high I really get into it I must admit though I do sometimes have a problem getting up to speed after leaving a stop sign/light especially if the tunes are cranked and the sun is shining and all is well in my little corner of the world Peace,1,1,marijuana,1
catch long story not want much heres sumamry smoke friend house people lunch friend drive trip someone grab car window call cop stay cop book us school suspend although not school chance high parent big deal though open mind stupidity school board government everyones idea moral principle stay friend good person stand think right good action reward later life good part today society suspend week call parent question yeah policy bull ethic hehe good time,I got caught such a long story I do n't want to get into it that much here 's a sumamry Smoked at a friend 's house with a few people at lunch friend driving me back tripped out someone who he grabbed through the car window called the cops I was the only one who stayed with him Cops booked us school suspended me because 'although I was n't at school there was a chance I would go back high and my parents found out No big deal though opened my mind up on the stupidity of the school board/government/and everyone 's ideas of morals As said by my principle 'You stayed with your friend and I can see you are a good person who stands up for what you think is right Your good actions will be rewarded later on in life and your a good part of today 's society Your suspended for two weeks and you will have to call your parents questions me 'yeah your policy is bull**** and so are your ethics' hehe good times,1,1,marijuana,0
stoner often hear people accident solely influence cannabis rare know medium hype always driver drunk kill people cautious driver car crash scary rather not click expand mom something girl high run old lady first thought not high weed drive well high focus well high add anyone drive badly high probably not smoke not drive sober either good sense limit responsibility road,A Stoner said How often do you hear of people in accidents because they were solely under the influence of cannabis It 's rare and you know the media would hype that up too but you always here the driver was drunk and killed these people I 'm a cautious driver car crashes are scary and I 'd rather not be in one.Click to expand My mom tried to tell me something about a girl getting high and running over some old lady My first thought she was NOT high on weed I drive better when I 'm high I focus better when I 'm high I have ADD Anyone who drives badly while high probably should n't be smoking should n't be driving sober either or should get a better sense of limits and responsibility on the road,5,7,marijuana,1
laxgirl83 everyone drive n buy seasoned drinker probably thing think agree drink driving bad idea reflex definitely slow stone even though drive not safe anyone think otherwise denial click expand reflex may slightly low think increase focus task hand well heightened sense immediate environment thanks herb drive amazingly similar well sober opinion anyway,laxgirl83 said Everyone is saying how once you get used to it you can drive I don t buy it A seasoned drinker would probably say the same thing and I think we all agree drinking and driving is a bad idea Reflexes are definitely slower when you re stoned so even though you can drive it wo n't be as safe Anyone who thinks otherwise is in denial.Click to expand while reflexes may be slightly lower i think increased focus on the task at hand as well as a heightened sense of your immediate environment thanks to the herb you drive amazingly similar to as well as sober In my opinion anyway,3,1,marijuana,1
imixedi actually ticket last night something not not high know general consensus think nothing wrong drive high remember still influence regardless click expand happen, imixedi said: I actually got a ticket last night for something I wouldn't have done if I wasn't high. I know the general consensus here thinks nothing is wrong with driving high..but remember you still are under the influence regardless.Click to expand... What happened? † ,1,2,grasscity,0
opinion drive high irresponsible drive high time although not exactly like start think thing like big box steel move mph pretty scary think yet drive every day oh really not suggest drive somewhere far never high good thing gps exactly," In my opinion driving while high is irresponsible and no one should do it. That being said I drive high all the time... although I don't exactly like to, I start thinking about things like ""I'm in a big box of steel that is moving at 80 mph"" it's pretty scary when you think about it, yet we are used to driving every day. oh and I really do not suggest driving somewhere far you have never been before high... good thing I have GPS to tell me exactly where to go! † ",4,3,grasscity,0
drunk driving high driving different drive drunk inclined straight stupid thing drive faster ignore light stop sign car etc etc drive high not inherently bad driver problem people drive even sober totally suck drive close call react lightning fast moron not pay attention high doubt nasty accident not anything cause high not able prevent problem drive high okay punish guy high not fault accident happen might able circumvent disaster not high opinion definitely exciting court case day weed legal ofc time okay way prop not think drive high okay gon na uphill battle lot people not really respect desire legalize weed think silly stupid unimportant etc pick battle slowly surely marijuana law exactly want gladly accept proposition,Drunk driving and high driving are very different When you 're driving drunk you 're inclined to just do straight up stupid things driving faster than you should ignoring lights/stop signs/other cars etc etc Driving high does n't make you inherently a worse driver The problem is that other people are driving too and some of them even while sober totally suck at driving I 've had a few very close calls where I had to react lightning-fast because of some moron who was n't paying attention Had I been high I have no doubt that I would 've gotten into a nasty accident It 's not anything I caused but because I was high I would n't have been able to prevent it That 's my one problem with driving high Now is it okay to punish the guy who 's high when it was n't his fault that an accident happen but he might have been able to circumvent disaster if he was n't a high In my opinion no but that 's definitely going to be an exciting court case one day when weed 's legal ofc For the time being I 'm okay with the way prop does n't think driving while high is okay It 's gon na be an uphill battle a lot of people do n't really respect our desire to have legalized weed They think it 's silly stupid unimportant etc We 'll have to pick our battles and slowly surely we can get marijuana laws exactly where we want them For now I 'll gladly accept this proposition as is,8,9,marijuana,1
drive oppose traffic thank god car pretty far away time turn wendys b4 reach drive end drive high, drove in opposing traffic.. thank god the cars were pretty far away and i had time to turn into wendys b4 they reached where i was driving. thats the end of driving too high † ,3,1,cannabis,0
workethic not drive high generally trust friend unless african dubstep shit zone run stop sign click expand african dubstep suggestion wana check sound interesting," Workethic said: I don't drive while high, but I generally trust my friends when they do. Unless we're listening to African Dubstep. That shit zones you out and we ran a stop sign....Click to expand... African Dubstep? any suggestions i wana check this out sounds interesting † ",1,1,grasscity,1
like drive high not really really baked great head country road good tune window down like others good driver extra careful obey law comment cornors roundabout jus fast like think ca nt crash day bit irresponsible not care high not drive like jackass not forget maybe ok day crash family take might not," I like to drive when I'm high but not really, really baked. It's great to head out on a country road with some good tunes, the windows down. Like some others have said, it makes me a better driver because I'm extra careful and obey all the laws. I do have to say that the comment ""when i come up to cornors and roundabouts i jus go as fast as i can.... like i think i cant crash.... 1 day i will"" is more than a bit irresponsible. I don't care if your high or not if you're driving like this you're just being a jackass. And don't forget, maybe you are ok with the ""1 day i will"" (crash) but the family you take out with you might not be. † ",3,2,cannabis,1
against high driving start realize easily not impair bit anything good driver hardly mistake know avoid talk cop look like," I used to be against high driving...until I started doing it and realizing that I can EASILY do it. It doesn't impair me one bit, if anything it makes me a better driver, because I hardly make mistakes. You know...to avoid talking to the cops when I look like this † ",1,1,grasscity,1
concentrate alot road mean weed relax drive pretty good guess people shake not safe supose end day still stone drive bad drunk kill someone co laugh something recently shake not stone drive randomly shake still kinda em havnt stone drive week sober drive havnt really sober last year wierd oh well still smoke amount day though lol stone great love life," I concentrate alot more on the road, i mean, the weed should relax you, so you can drive pretty good, but i guess for some people they do get the shakes and then its not so safe. I supose at the end of the day, your still stoned, and while driving its just as bad as being drunk if you kill someone cos you was laughing or something. Also recently i got the shakes, not from being stoned and driving, just randomly got the shakes, and i still kinda got em, so i havnt got stoned and drove for about 2 weeks. I have to make myself sober to drive now, and i havnt really been sober for the last 3 years, its wierd, but oh well. I still smoke the same amount a day though lol. Im stoned now, and its all great. I love life. † ",5,4,cannabis,1
sometimes blaze real hungery ride stone mcdonalds always drive safe hell even drive drunk time fine down drunk maybe relaxing love long country road drive," Sometimes i'LL get blazed and get real hungery so I will go for a ride stoned off my ass to mcdonalds. I have always driven safe, hell I have even driven drunk a few times just fine, but I was coming down from being drunk so maybe thats why. Its just more relaxing to me, I love the long country road drives. † ",3,2,grasscity,1
reale year death colin foote video rhode island news projocom providence journal est monday december tracy breton journal staff writer south kingstown laura reale drug addict westerly woman fail stop red light route charlestown may kill motorcyclist colin b foote sentence friday serve year 10year sentence adult correctional institutions marijuana kill colin foote superior court judge edwin j gale impose sentence include substance abuse mental health counseling reale release years probation hour community service suspension driver license year relate link extra read prosecutor cindy soccios statement reales sentence state prosecutor cindy soccio member foote family urge gale order reale serve full year maximum provide state law judge rebuff plea want sure release constraint report probation officer practice good behavior year wind prison finish full 10year sentence reale plead guilty last month charge drive endanger death result weep proceeding last hour westerly high school graduate attend not finish community college rhode island appear court wear suede sneaker khaki slack shirt navy blue zip sweatshirt hand cuff front first time offer apology foote family sit opposite side courtroom many colin friend woman plan marry longtime girlfriend mallory kowal reale devastate senseless action wish trade place colin today take away family pain sorrow great pain endless judge edwin j gale sentence laura reale year prison serve drive influence death result providence journal kathy borchers not waking hour not consume colin death effect family reale read handwritten statement pray colin family daily sorry parent thomas diana reale sit weep behind child court hop someday foote family heart forgive god give peace deserve foote family highly emotional statement court characterize reale evil revolting selfish question whether goodness inside chide parent never contact accident sorry something defense lawyer stephen r famiglietti later not case pending nary dry eye spectator gallery impact death foote 27year old cum laude connecticut college graduate live charlestown work public relation providence talk loss pour pain prosecutor soccio show foote family dvd capture colin life day baby night announce parent land full time job girlfriend kowal look forward wedding block island child high school sweetheart dream buy yellow house bulldog plan ruin laura reale kowal court night fatal crash rush westerly hospital pronounce dead hold hand long let take last breath kowal work emergency room hasbro children hospital offer bereavement counseling need therapy foote parent richard robin foote maryann foote day daunting exhausting often feel life not worth living kowal colin mother talk part die loss colin fill angry sense injustice bitterness sometimes feel like longtime investment colin nothing maryann foote follow son home car together son witness colin strike recount court kneel roadway lay die barely breathe helmet pray silently wait rescue truck love saw something bound towards bend son face pure evil refer laura reale offer lame excuse not red light run maryann foote chide police fail adequately patrol route urge court son case example deter others habitually violate traffic law reale time year famiglietti moment client hit colin foote accept responsibility chance something life gale receive letter people across country urge give reale maximum year n believe fatal crash accident predictable loss life someone pre sentence report describe totally irresponsible almost totally self indulgent pass life drug induce fog year gale reale self consume lazy without ambition purpose addict marijuana later accord soccio vicodin percocet oxycontin judge n believe reale evil point candidly admit pre sentence report not responsible not good work ethic n want work gale result chronic marijuana since age fifteen cause lengthy discourse rail against evil marijuana gale defendant high marijuana time fatal crash hit plan accident occur although never charge drug offense connection fatality soccio prosecutor last day foote life colin brother mother enjoy day trip block island laura reale spend sunday male companion hang krystal penguin motel charlestown smoke marijuana leave motel point end day friend convenience store buy blunt smoke marijuana accord companion laura bag marijuana chatter ex boyfriend not pay attention soccio ride red light west beach road slam foote never hit brake never slow down hit colin soccio bemoan fact general assembly set low maximum sentence reale crime gale upset rhode island legalize marijuana medicinal even though people n know grower growth not inspect potency day day judge defense lawyer plead leniency client marijuana marijuana today time potent generation ago culture wake stop pretend soft drug okay judge urge medium write story danger marijuana many people lazy irresponsible taxpayer support lifestyle family colin foote pay high price imaginable tbreton projocom reale year death colin foote video rhode island news projocom providence journal," Reale gets 8 years in death of Colin Foote / Video | Rhode Island news | projo.com | The Providence Journal 10:45 AM EST on Monday, December 20, 2010 By Tracy Breton Journal Staff Writer SOUTH KINGSTOWN ññ Laura A. Reale, the drug-addicted Westerly woman who failed to stop at a red light on Route 1 in Charlestown in May, killing motorcyclist Colin B. Foote, was sentenced Friday to serve 8 years of a 10-year sentence in the Adult Correctional Institutions. ìI find that marijuana killed Colin Foote,î Superior Court Judge Edwin J. Gale said in imposing the sentence, which includes substance-abuse and mental-health counseling and, when Reale is released on two yearsí probation, 200 hours of community service and suspension of her driverís license for five years. Related links Extra: Read prosecutor Cindy Soccio's statement from Reale's sentencing The stateís prosecutor, Cindy Soccio, and members of Footeís family had urged Gale to order Reale, 27, to serve the full 10 years ó the maximum provided by state law ó but the judge rebuffed their pleas, saying he wanted to make sure that once she was released there would be some constraints on her. Sheíll have to report to a probation officer and practice good behavior for two years or she could wind up back in prison to finish the full 10-year sentence. Reale, who pleaded guilty last month to a charge of driving to endanger, death resulting, wept through most of the proceedings, which lasted more than two hours. The Westerly High School graduate, who attended but did not finish the Community College of Rhode Island, appeared in court wearing suede sneakers, khaki slacks, a T-shirt and navy blue zip-up sweatshirt, her hands cuffed in front of her. For the first time, she offered an apology to the Foote family, who sat on the opposite side of the courtroom with many of Colinís friends and the woman heíd planned to marry, his longtime girlfriend, Mallory Kowal. Reale said she had been devastated by ìmy senseless actions,î and that ìI wish I could trade places with Colin today and take away some of [his familyís] pain. Ö My sorrow is so great and my pain has been endless.î Judge Edwin J. Gale sentences Laura Reale to 10 years in prison, 8 to serve, for driving under the influence, death resulting. The Providence Journal / Kathy Borchers ìThere is not one waking hour when I am not consumed with Colinís deathî and the effect it has had on his family,î Reale said, reading from a handwritten statement. ìI pray for Colin and his family dailyî and ìtell him how sorry I am. Öî As her parents, Thomas and Diana Reale, sat weeping behind her, their only child told the court that she hoped that someday the Foote family could ìfind it in their hearts to forgive meî and that God would ìgive them the peace they deserve.î The Foote family, in highly emotional statements to the court, characterized Reale as evil, revolting and selfish and questioned whether ìshe has any goodness inside.î They also chided her and her parents for never contacting them after the accident to say they were sorry ññ something defense lawyer Stephen R. Famiglietti later said he had told them not to do while the case was pending. There was nary a dry eye in the spectator gallery as one by one, those most impacted by the death of Foote ññ a 27-year-old cum laude Connecticut College graduate who lived in Charlestown and worked in public relations in Providence ññ talked about their loss and poured out their pain. Prosecutor Soccio showed a Foote family-made DVD capturing Colinís life, from his days as a baby to the night he announced to his parents that heíd landed a full-time job. His girlfriend, Kowal, had looked forward to having a wedding on Block Island and having children with her high school sweetheart. They had dreams of buying a yellow house and a bulldog but those plans were ruined, she said, ìbecause of Laura Reale.î Kowal told the court how, on the night of the fatal crash, she rushed to Westerly Hospital where he was pronounced dead and held his hand ìas long as they would let meî after he had taken his last breath. Kowal, who works in the emergency room at Hasbro Childrenís Hospital offering bereavement counseling to those in need, is now in therapy herself ó as are Footeís parents, Richard ìRobinî Foote and Maryann Foote. ìGetting through just one day [now] is just so daunting and exhausting that I often feel life is not worth living,î said Kowal. Colinís mother talked about how ìa part of me has diedî with the loss of Colin and how sheís filled ìwith an angry sense of injusticeî and bitterness and that sometimes, she feels like her ìlongtime investment in Colinî was for nothing. Maryann Foote was following her son home in her car and, together with her other son, witnessed Colin getting struck. She recounted in court how she knelt over him on the roadway as he lay dying, ìbarely breathing, his helmet on,î how she prayed silently for him, waiting for a rescue truck, telling him over and over again ìthat I loved him.î ìAnd then I saw something bounding towards me as I bent over my son Ö a face of pure evil,î she said, referring to Laura Reale, who she said offered ìsome lame excuseî about not seeing the red light she had just run. Maryann Foote chided the police for failing to adequately patrol Route 1 and urged the court to use her sonís case as an example to deter others from habitually violating traffic laws ó as Reale did 28 times over 8Ω years. Famiglietti said that from the moment his client hit Colin Foote, she accepted responsibility. ìShe has a chance to make something of her life,î he said. Gale ññ who said heíd received over 100 letters from people across the country urging him to give Reale the maximum 10 years ó said he doesnít believe that the fatal crash was an accident. ìIt was a predictable loss of life by someone who [in her pre-sentence report] describes herself as totally irresponsibleî and who has been ìalmost totally self-indulgent, passing through life in a drug-induced fog.î For over 10 years, Gale said, Reale has been ìself-consumed, lazy, without ambition, purpose, addictedî to marijuana [and later, according to Soccio, to Vicodin, Percocet and OxyContin.] The judge said that he doesnít believe Reale is evil but pointed out that sheíd candidly admitted in her pre-sentence report that ìëI am not responsible, and I do not have a good work ethic, and I donít want to work.íî Gale said ìit was a result of her chronic marijuana use since age fifteenî that caused this. In a lengthy discourse in which he railed against the evils of marijuana, Gale said: ìThe defendant was high on marijuana at the time of that fatal crash. She had just had some hits and she planned to have some moreî when the accident occurred. Although she was never charged with any drug offenses in connection with the fatality, Soccio, the prosecutor, said that on the last day of Footeís life, while Colin, his brother and mother were enjoying a day-trip to Block Island, Laura Reale ìspent her Sunday with two male companions hanging out at the Krystal Penguin Motelî in Charlestown. ìThey smoked marijuana; she left the motel at some point; and then went back and at the end of the day,î she and a friend ìwent to find a convenience store to buy a blunt to smoke marijuana becauseî according to her companion, ìLaura had a bag of marijuana.î She was chattering about her ex-boyfriend and not paying attention, Soccio said, when she rode through the red light at West Beach Road and slammed into Foote. ìShe never hit her brakes, never slowed down Ö until after she hit Colin.î Soccio bemoaned the fact that the General Assembly has set such a low maximum sentence for Realeís crime. Gale said he was upset that Rhode Island now has legalized marijuana for medicinal use even though the people who get it donít know the grower and the growth ìwill not be inspectedî for potency. Day after day, the judge said, defense lawyers come to him to plead for leniency for clients, saying, ìitís only marijuana.î Saying that marijuana today is five times more potent than a generation ago, he asked, ìWhen will our culture wake up and stop pretending that soft drugs are okay?î The judge urged the media to write more stories about the dangers of marijuana. There are many people out there, he said, who are ìlazyî and ìirresponsibleî and the taxpayers ìare supporting their lifestyle, and the family of Colin Foote is paying the highest price imaginable.î tbreton@projo.com Reale gets 8 years in death of Colin Foote / Video | Rhode Island news | projo.com | The Providence Journal † ",3,16,cannabis,0
buddha smoker never pull always blast music usually deathmetal always hat not much since buzz hair want learn drive high learn like permit follow op except cruise control barely shit sober never mind set lift haha long light work everything date drive normally not problem end month around cop need fill quotas yes exist pull anything pulse talk something wrong drive way pick good spot hide longer take good less 18th shove down pants girl cleavage mean shove everything else anyway consent search even like search nope light red light head way search even illegally next dick cop likely quick check glove box center consul seat let click expand actually united states constitutional right american deny improbable search seizure well others past deny officer right search vehicle long mention right usually seem assume not know not much fact long everything else check let not suspicious know right assume randomly pull fill quota though otherwise still work unless already give probable cause look apologize not locate us others may useful," Buddha Smoker said: I've never gotten pulled over, and always blast my music(usually deathmetal) and always have a hat on(not so much since I buzzed my hair). If you want to learn to drive high, then LEARN. Just like you did before you got your permit. What you do follow what op said, except cruise control. I can barely use that shit sober, never mind trying to set it lifted haha. As long as your lights are all working, everything is up to date and you're driving normally you won't have a problem. Until the end of the month come around and a cop needs to fill his quotas(yes, they do exist) than they will pull over anything with a pulse to try and talk them into doing something wrong. If are driving on your way from picking up, have a GOOD spot to hide it. The longer it takes you to get to it the better. If it's less than an 1/8th, shove it down your pants(or for girls, cleavage. I mean you shove everything else there anyway) and consent to a search or even ask if they would like to search. Saying ""nope"" will light the red light in their head, and they WILL find a way to search, even illegally if they have to. If it's next to your dick the cop will most likely do a quick check the glove box, center consul, and under the seats and let you go.Click to expand... Actually, in the United States it is one of your constitutional rights as an American to deny improbable search and seizure. Myself as well as others have in the past denied an officer the right to search our vehicle(s), and as long as you mention that it is your right to do so (they usually seem to just assume you don't know) there isn't much they can do about it. In fact as long as everything else checks out they will just let you go, just DON'T BE SUSPICIOUS ABOUT IT. Know your rights. That is assuming that they just randomly pulled you over to fill a quota, though (otherwise it should still work unless you've already given them probable cause to look). I apologize if you aren't located in the US, but others may find that useful. † ",3,1,grasscity,1
not good love best memory drive home day beach smoke nice bowl hour long drive roadtrips enjoyable smoke lot less drive take less feel high account constantly change scenery seem true smoke different place seem feel high drive home work really relax well," Not good to do, but I love doing it. Some of my best memories were driving home from a day at the beach smoking a nice bowl for the two hour long drive It makes roadtrips enjoyable, I find I smoke a lot less when driving, or it takes less to feel high. I account this to the constantly changing scenery, it seems true that if you smoke in different places you seem to feel higher Driving home after work and doing it is really relaxing as well. † ",4,3,grasscity,1
drive high feel like faster really guess opposite guy really," When I drive high I feel like I'm going faster than I really am, so I guess I'm the opposite of you guys really.. † ",1,1,cannabis,1
clevemire speak granny drive like really high otherwise little slow cautious normal note never hear anyone anyone accident cuz high damn anti pot commercial need stop lie not us citizen love government not love way many many country decriminalize legalize weed lie right face click expand yeah think someone crash police shit not gon na crash high not think able drive stone well closin eye time cuz look trippy fuck lol haha," clevemire said: Speaking of granny, that's what I drive like if I am really high. Otherwise, I'm just a little slower and more cautious than normal. On that note, I have never heard of anyone.. anyone getting into an accident cuz they were high. These damn anti-pot commercials need to stop lying. Don't you other US citizens love your government? Don't you love the way many many other countries have decriminalized or legalized weed, but your own will lie right to your face about it?Click to expand... Yeah, but think about it. If someone got in a crash, when the police and shit come your not gonna say ""i crashed because i was high"". Are you? I don't think i'd be able to drive stoned because well, i'd just be closin my eyes all the time cuz it looks as trippy as fuck... lol. haha. † ",2,4,cannabis,0
kronik lmfao oh true know high start run around town ballerina tights sing hannah montana firework strap yourback hit car drive bill cosby billy mays way tea part satan click expand never happen sorry not know high story kick not cool know high fit left shoe ur right foot struggle not question hard put manage hard walk realize switch,kronik said lmfao oh so true you know your high when you start running around town in ballerina tights singing hannah montana with fireworks strapped to yourback while getting hit by a car being driven by bill cosby and billy mays on their way to a tea part with satan Click to expand No that just would never happen Sorry Do n't make up You know you 're high when stories just for kicks not cool You know you 're high when you try to fit your left shoe in ur right foot and after a while of struggling and not questioning why it 's so hard to put it in you manage to get it in and find it hard to walk you then realize they are switched,1,3,marijuana,0
drive high pretty much everytime drive much good sober cruise along beat urself way home sesh best nt dangerous drive sober fact probably drive well rip not although agree guy ur daily smoker occasionally might hard however not know," I drive high pretty much everytime I drive. it is so much better than being sober, cruising along listening to beats by urself on the way home from a sesh is the best. it isnt any more dangerous than driving sober, in fact I probably drive better ripped than not. although I do agree with the guy above me, should only do it if ur a daily smoker and are more than used to it, doing it only occasionally might be hard, however I wouldn't know. † ",4,1,grasscity,1
haha deliver pizza time high nt mellow anything road rage like mother idk maybe cuz always drive ppl asshole not weed cuz smoke home compleatly dif high love drive high local cop, haha i deliver pizza all the time high but i dont get mellow or anything i get road rage! and i get it like a mother. idk why maybe cuz im always driving and ppl are assholes but its not the weed cuz i smoke at home compleatly dif high...i love driving high...just ask the local cops † ,2,3,cannabis,1
not sure truth remember read article alaskan dude drive stone not sure puffin drive though run poor old lady die sincerely hope hear abt employ against legalization cannabis merry day," I am not sure if this is the truth...I remember reading an article where the alaskan dude was driving while stoned, im not sure if he was puffin while he was driving though, and he ran over some poor old lady and she died. I sincerely hope no one hears abt this and employ this against the legalization of cannabis. Have a merry day! † ",2,2,cannabis,1
tokinitguy unrecognized crisis fact drive texting probably become killer soon enough hell look number teenager might drive high probably text drive not agree drive high sad disgusting medium attempt attack group statistically prove safe group road compare alcohol drugs prescription otherwise texting click expand know person text drive piece shit nt mind end tree thekidthatshigh drive stone always exactly speed limit click expand haha bro never germany cause exactly pull suspicous especially night not like 4x love jesus sticker ride drive normal car normal look pull drive speed limit topic drive high really cause catch drug blood sweat urin ur basically fuck right bike city statistically red light violation x," tokinITguy said: The only ""unrecognized crisis"" out there is the fact that driving while texting is probably become our #1 killer, or will soon enough. Hell, just look at the numbers. 1 out of 100 teenagers might drive high, but probably 90 out of 100 of them text while driving. While I don't agree with driving while high, I find it sad and disgusting that the media would once again attempt to attack a group that has statistically proven to be one of the safer groups on the road, as compared to alcohol, other drugs(prescription or otherwise), or texting.Click to expand... I only know one person that texts while driving and shes such a piece of shit, i wouldnt mind her ending at a tree Thekidthatshigh said: When I drive stoned I always go exactly the speed limit.Click to expand... haha bro just never do that in germany cause thats exactly what going to get you pulled over.... its suspicous especially at night ... (not if you got like 4x i love jesus stickers on your ride) but if you drive a normal car and are normal looking that would get you pulled over... over here no one drives the speed limit on topic: i only drive high if i really have to, cause if you get caught here with drugs in your blood/sweat/urin ur basically fucked and can right the bike from then on ( but than again my city is the one with statistically the most red light violation :X ) † ",9,4,grasscity,0
rom bud obviously lace lsdclick expand hell drive lsd not even problem probably drive much high sober really easy not pull single time," roma said: Your bud obviously was laced with LSD.Click to expand... Hell, I've driven on LSD and I haven't even had that problem... I've probably driven just as much high as I have sober. It's really easy for me, haven't been pulled over a single time. † ",2,1,grasscity,1
weed anywhere car not fishbowled fine ever pull nice polite cop cooperate likely let dick dick right something likely happy saw high guy sober driver kind like drinking driving good designate driver know people drive permit pull let prevent drinking driving," If theres no weed anywhere and the car isn't fishbowled you'd be fine. And if you ever get pulled over be as nice and polite as you can to the cop. If you cooperate he's more likely to let you go, if your a dick he'll be a dick right back and try to get you for something. But more than likely they'd be happy if they saw a high guy with a sober driver. Kind of like drinking and driving, it's good to see a designated driver. I know people that have driven with only a permit and got pulled over but got let go because they were preventing some drinking and driving. † ",3,1,grasscity,0
ya drive high really nt problem unless smoke like blunts friend feel like pass nt think problem drive really slow sometimes, ya driving high really isnt a problem for me unless i just smoked like 6 blunts with my friends and i feel like im about to pass out. but i dont think it is a problem i just find myself driving really slow sometimes. † ,2,1,grasscity,1
stone drive feel like slower never crash hit anyhing high really close call," i find when im stoned and driving i do feel like im going slower but ive never got into a crash or hit anyhing while high, or really had any close calls † ",1,2,cannabis,1
nah drive high straight long concentrate man, nah driving high is straight as long as you can do it.  just concentrate man. † ,1,1,cannabis,1
